Parse Process Log
=================

------------------------------------------------------------
Step   Stack                                    Input                          Action
250    $ . end statement_list' )                ) ; sum := 0 ; for i := 1...   REDUCE expression_list -> expression expression_list'
251    $ . end statement_list' )                ) ; sum := 0 ; for i := 1...   MATCH ')'
252    $ . end statement_list'                  ; sum := 0 ; for i := 1 t...   REDUCE statement_id_tail -> ( expression_list )
253    $ . end statement_list'                  ; sum := 0 ; for i := 1 t...   REDUCE statement -> id statement_id_tail
254    $ . end statement_list'                  ; sum := 0 ; for i := 1 t...   PREDICT statement_list' -> ; statement statement_list'
255    $ . end statement_list' statement ;      ; sum := 0 ; for i := 1 t...   MATCH ';'
256    $ . end statement_list' statement        sum := 0 ; for i := 1 to ...   PREDICT statement -> id statement_id_tail
257    $ . end statement_list' statement_i...   sum := 0 ; for i := 1 to ...   MATCH 'id'
258    $ . end statement_list' statement_i...   := 0 ; for i := 1 to 10 d...   PREDICT statement_id_tail -> assignop expression
259    $ . end statement_list' expression ...   := 0 ; for i := 1 to 10 d...   MATCH 'assignop'
260    $ . end statement_list' expression       0 ; for i := 1 to 10 do s...   PREDICT expression -> simple_expression expression_tail
261    $ . end statement_list' expression_...   0 ; for i := 1 to 10 do s...   PREDICT simple_expression -> term simple_expression'
262    $ . end statement_list' expression_...   0 ; for i := 1 to 10 do s...   PREDICT term -> factor term'
263    $ . end statement_list' expression_...   0 ; for i := 1 to 10 do s...   PREDICT factor -> num
264    $ . end statement_list' expression_...   0 ; for i := 1 to 10 do s...   MATCH 'num'
265    $ . end statement_list' expression_...   ; for i := 1 to 10 do sum...   REDUCE factor -> num
266    $ . end statement_list' expression_...   ; for i := 1 to 10 do sum...   PREDICT term' -> epsilon
267    $ . end statement_list' expression_...   ; for i := 1 to 10 do sum...   REDUCE term' -> epsilon
268    $ . end statement_list' expression_...   ; for i := 1 to 10 do sum...   REDUCE term -> factor term'
269    $ . end statement_list' expression_...   ; for i := 1 to 10 do sum...   PREDICT simple_expression' -> epsilon
270    $ . end statement_list' expression_...   ; for i := 1 to 10 do sum...   REDUCE simple_expression' -> epsilon
271    $ . end statement_list' expression_...   ; for i := 1 to 10 do sum...   REDUCE simple_expression -> term simple_expression'
272    $ . end statement_list' expression_...   ; for i := 1 to 10 do sum...   PREDICT expression_tail -> epsilon
273    $ . end statement_list'                  ; for i := 1 to 10 do sum...   REDUCE expression_tail -> epsilon
274    $ . end statement_list'                  ; for i := 1 to 10 do sum...   REDUCE expression -> simple_expression expression_tail
275    $ . end statement_list'                  ; for i := 1 to 10 do sum...   REDUCE statement_id_tail -> assignop expression
276    $ . end statement_list'                  ; for i := 1 to 10 do sum...   REDUCE statement -> id statement_id_tail
277    $ . end statement_list'                  ; for i := 1 to 10 do sum...   PREDICT statement_list' -> ; statement statement_list'
278    $ . end statement_list' statement ;      ; for i := 1 to 10 do sum...   MATCH ';'
279    $ . end statement_list' statement        for i := 1 to 10 do sum :...   PREDICT statement -> for id assignop expression to expression do statement
280    $ . end statement_list' statement d...   for i := 1 to 10 do sum :...   MATCH 'for'
281    $ . end statement_list' statement d...   i := 1 to 10 do sum := su...   MATCH 'id'
282    $ . end statement_list' statement d...   := 1 to 10 do sum := sum ...   MATCH 'assignop'
283    $ . end statement_list' statement d...   1 to 10 do sum := sum + a...   PREDICT expression -> simple_expression expression_tail
